date,location,location_name,value,weekly_rate
44121,42,Pennsylvania,0,0
44128,42,Pennsylvania,5,0.038575237
44135,42,Pennsylvania,7,0.054005332
44142,42,Pennsylvania,16,0.12344076
44149,42,Pennsylvania,4,0.03086019
44156,42,Pennsylvania,6,0.046290285
44163,42,Pennsylvania,3,0.023145142
44170,42,Pennsylvania,16,0.12344076
44177,42,Pennsylvania,11,0.084865522
44184,42,Pennsylvania,6,0.046290285
44191,42,Pennsylvania,9,0.069435427
44198,42,Pennsylvania,14,0.108010665
44205,42,Pennsylvania,16,0.12344076
44212,42,Pennsylvania,19,0.146585902
44219,42,Pennsylvania,21,0.162015997
44226,42,Pennsylvania,11,0.084865522
44233,42,Pennsylvania,10,0.077150475
44240,42,Pennsylvania,18,0.138870855
44247,42,Pennsylvania,9,0.069435427
44254,42,Pennsylvania,14,0.108010665
44261,42,Pennsylvania,5,0.038575237
44268,42,Pennsylvania,11,0.084865522
44275,42,Pennsylvania,9,0.069435427
44282,42,Pennsylvania,10,0.077150475
44289,42,Pennsylvania,12,0.09258057
44296,42,Pennsylvania,16,0.12344076
44303,42,Pennsylvania,12,0.09258057
44310,42,Pennsylvania,12,0.09258057
44317,42,Pennsylvania,6,0.046290285
44324,42,Pennsylvania,19,0.146585902
44331,42,Pennsylvania,8,0.06172038
44338,42,Pennsylvania,14,0.108010665
44345,42,Pennsylvania,21,0.162015997
44352,42,Pennsylvania,9,0.069435427
44359,42,Pennsylvania,15,0.115725712
44366,42,Pennsylvania,11,0.084865522
44373,42,Pennsylvania,11,0.084865522
44380,42,Pennsylvania,12,0.09258057
44387,42,Pennsylvania,9,0.069435427
44394,42,Pennsylvania,7,0.054005332
44401,42,Pennsylvania,13,0.100295617
44408,42,Pennsylvania,14,0.108010665
44415,42,Pennsylvania,17,0.131155807
44422,42,Pennsylvania,8,0.06172038
44429,42,Pennsylvania,9,0.069435427
44436,42,Pennsylvania,10,0.077150475
44443,42,Pennsylvania,17,0.131155807
44450,42,Pennsylvania,13,0.100295617
44457,42,Pennsylvania,12,0.09258057
44464,42,Pennsylvania,9,0.069435427
44471,42,Pennsylvania,20,0.15430095
44478,42,Pennsylvania,18,0.138870855
44485,42,Pennsylvania,21,0.162015997
44492,42,Pennsylvania,22,0.169731045
44499,42,Pennsylvania,18,0.138870855
44506,42,Pennsylvania,14,0.108010665
44513,42,Pennsylvania,15,0.115725712
44520,42,Pennsylvania,24,0.18516114
44527,42,Pennsylvania,22,0.169731045
44534,42,Pennsylvania,54,0.416612565
44541,42,Pennsylvania,77,0.594058657
44548,42,Pennsylvania,79,0.609488752
44555,42,Pennsylvania,86,0.663494085
44562,42,Pennsylvania,112,0.86408532
44569,42,Pennsylvania,88,0.67892418
44576,42,Pennsylvania,59,0.455187802
44583,42,Pennsylvania,39,0.300886852
44590,42,Pennsylvania,30,0.231451425
44597,42,Pennsylvania,35,0.270026662
44604,42,Pennsylvania,50,0.385752375
44611,42,Pennsylvania,88,0.67892418
44618,42,Pennsylvania,77,0.594058657
44625,42,Pennsylvania,68,0.52462323
44632,42,Pennsylvania,79,0.609488752
44639,42,Pennsylvania,101,0.779219797
44646,42,Pennsylvania,109,0.840940177
44653,42,Pennsylvania,140,1.08010665
44660,42,Pennsylvania,183,1.411853692
44667,42,Pennsylvania,189,1.458143977
44674,42,Pennsylvania,200,1.5430095
44681,42,Pennsylvania,160,1.2344076
44688,42,Pennsylvania,149,1.149542077
44695,42,Pennsylvania,179,1.380993502
44702,42,Pennsylvania,158,1.218977505
